;;HC VERVA Litvínov;3;"PÁ 02. 10.
(1:1, 1:0, 0:1 - 0:0 - 1:0)";2;"S
BK Mladá Boleslav";
;;Piráti Chomutov;0;"PÁ 02. 10.
(0:0, 0:1, 0:1)";2;"
HC Energie Karlovy Vary";
;;HC Dynamo Pardubice;1;"PÁ 02. 10.
(1:2, 0:1, 0:3)";6;"
HC VÍTKOVICE STEEL";
;;Mountfield HK;5;"PÁ 02. 10.
(1:1, 3:1, 1:1)";3;"
HC Oceláři Třinec";
;;PSG Zlín;3;"ÚT 27. 10.
(3:2, 0:2, 0:0)";4;"
HC Olomouc";
;"8. kolo
";;;;;;
;;Bílí Tygři Liberec;3;"NE 04. 10.
(0:1, 1:1, 1:0 - 1:0)";2;"
Piráti Chomutov";
;;HC Energie Karlovy Vary;1;"NE 04. 10.
(0:1, 1:1, 0:0)";2;"
PSG Zlín";
;;Mountfield HK;2;"NE 04. 10.
(0:0, 1:1, 1:5)";6;"
HC Škoda Plzeň";
;;HC Olomouc;2;"NE 04. 10.
(0:0, 1:0, 1:1)";1;"
HC Dynamo Pardubice";
;;HC VERVA Litvínov;1;"NE 04. 10.
(0:2, 1:1, 0:1)";4;"
HC Oceláři Třinec";
;;HC Kometa Brno;5;"NE 04. 10.
(1:1, 1:0, 3:2)";3;"
HC Sparta Praha";
;;HC VÍTKOVICE STEEL;0;"ÚT 08. 12.
(0:0, 0:0, 0:1)";1;"
BK Mladá Boleslav";
;"9. kolo
";;;;;;
;;HC Oceláři Třinec;1;"PÁ 09. 10.
(0:1, 1:1, 0:0)";2;"
HC Kometa Brno";
;;Piráti Chomutov;1;"PÁ 09. 10.
(1:0, 0:0, 0:0)";0;"
HC VERVA Litvínov";
;;PSG Zlín;3;"PÁ 09. 10.
(1:1, 1:1, 1:3)";5;"
HC VÍTKOVICE STEEL";
;;BK Mladá Boleslav;4;"PÁ 09. 10.
(0:0, 1:0, 3:1)";1;"
Mountfield HK";
;;HC Dynamo Pardubice;1;"PÁ 09. 10.
(1:1, 0:0, 0:3)";4;"
Bílí Tygři Liberec";
;;HC Olomouc;2;"PÁ 09. 10.
(0:1, 2:0, 0:0)";1;"
HC Energie Karlovy Vary";
;;HC Sparta Praha;5;"PÁ 09. 10.
(2:0, 2:1, 0:3 - 1:0)";4;"
HC Škoda Plzeň";
;"10. kolo
";;;;;;
;;HC VÍTKOVICE STEEL;6;"SO 10. 10.
(3:0, 1:0, 2:1)";1;"
HC Energie Karlovy Vary";
;;HC Sparta Praha;7;"NE 11. 10.
(1:3, 4:1, 2:1)";5;"
HC Oceláři Třinec";
;;Bílí Tygři Liberec;0;"NE 11. 10.
(0:0, 0:0, 0:1)";1;"
HC Olomouc";
;;HC Škoda Plzeň;3;"NE 11. 10.
(2:1, 1:0, 0:0)";1;"
BK Mladá Boleslav";
;;Mountfield HK;2;"NE 11. 10.
(1:0, 1:0, 0:1)";1;"
PSG Zlín";
;;HC VERVA Litvínov;1;"NE 11. 10.
(0:2, 1:0, 0:0)";2;"
HC Dynamo Pardubice";
;;HC Kometa Brno;6;"NE 11. 10.
(2:1, 1:2, 3:1)";4;"
Piráti Chomutov";
;"11. kolo
";;;;;;
;;HC Oceláři Třinec;5;"ST 14. 10.
(1:0, 3:1, 1:0)";1;"
HC Škoda Plzeň";
;;HC Olomouc;2;"PÁ 16. 10.
(1:0, 0:1, 1:1 - 0:1)";3;"
HC VÍTKOVICE STEEL";
;;BK Mladá Boleslav;4;"PÁ 16. 10.
(2:0, 1:0, 1:0)";0;"
HC Kometa Brno";
;;Piráti Chomutov;2;"PÁ 16. 10.
(1:0, 0:1, 0:0 - 0:0 - 1:0)";1;"S
Mountfield HK";
;;PSG Zlín;1;"PÁ 16. 10.
(0:1, 0:1, 1:1)";3;"
Bílí Tygři Liberec";
;;HC Energie Karlovy Vary;2;"PÁ 16. 10.
(1:0, 1:3, 0:0)";3;"
HC VERVA Litvínov";
;;HC Dynamo Pardubice;2;"PÁ 16. 10.
(0:1, 2:1, 0:2)";4;"
HC Sparta Praha";
;"12. kolo
";;;;;;
;;HC Oceláři Třinec;4;"NE 18. 10.
(2:0, 0:2, 1:1 - 0:0 - 1:0)";3;"S
BK Mladá Boleslav";
;;HC Sparta Praha;4;"NE 18. 10.
(3:0, 1:0, 0:0)";0;"
Piráti Chomutov";
;;HC Škoda Plzeň;3;"NE 18. 10.
(0:0, 0:0, 2:2 - 0:0 - 1:0)";2;"S
PSG Zlín";
;;HC VERVA Litvínov;3;"NE 18. 10.
(0:0, 1:1, 1:1 - 0:0 - 1:0)";2;"S
HC Olomouc";
;;Mountfield HK;3;"PO 19. 10.
(1:0, 1:1, 1:0)";1;"
HC Energie Karlovy Vary";
;;HC Kometa Brno;6;"ÚT 20. 10.
(2:0, 2:1, 2:0)";1;"
HC Dynamo Pardubice";
;;Bílí Tygři Liberec;4;"ÚT 20. 10.
(2:0, 1:1, 1:0)";1;"
HC VÍTKOVICE STEEL";
;"13. kolo
";;;;;;
;;HC VÍTKOVICE STEEL;1;"PÁ 23. 10.
(0:0, 1:0, 0:0)";0;"
HC VERVA Litvínov";
;;HC Dynamo Pardubice;2;"PÁ 23. 10.
(1:0, 0:3, 1:2)";5;"
Mountfield HK";
;;PSG Zlín;2;"PÁ 23. 10.
(0:0, 1:0, 1:2 - 0:1)";3;"
HC Kometa Brno";
;;Piráti Chomutov;7;"PÁ 23. 10.
(1:2, 5:2, 1:1)";5;"
HC Škoda Plzeň";
;;BK Mladá Boleslav;4;"PÁ 23. 10.
(1:0, 0:2, 2:1 - 1:0)";3;"
HC Sparta Praha";
;;HC Olomouc;6;"PÁ 23. 10.
(2:0, 3:0, 1:0)";0;"
HC Oceláři Třinec";
;;HC Energie Karlovy Vary;4;"PÁ 23. 10.
(1:0, 2:4, 1:1)";5;"
Bílí Tygři Liberec";
;"14. kolo
";;;;;;
;;HC Energie Karlovy Vary;0;"NE 25. 10.
(0:1, 0:2, 0:3)";6;"
HC Škoda Plzeň";
;;PSG Zlín;3;"NE 25. 10.
(1:2, 1:0, 0:0 - 0:0 - 1:0)";2;"S
HC VERVA Litvínov";
;;HC Olomouc;1;"NE 25. 10.
(1:1, 0:0, 0:2)";3;"
HC Sparta Praha";
;;HC Dynamo Pardubice;5;"NE 25. 10.
(3:0, 0:1, 2:0)";1;"
BK Mladá Boleslav";
;;Piráti Chomutov;4;"NE 25. 10.
(1:3, 0:1, 3:0 - 0:1)";5;"
HC Oceláři Třinec";
;;Bílí Tygři Liberec;3;"NE 25. 10.
(1:0, 1:1, 1:1)";2;"
HC Kometa Brno";
;;HC VÍTKOVICE STEEL;2;"ST 28. 10.
(2:1, 0:0, 0:2)";3;"
Mountfield HK";
;"15. kolo
";;;;;;
;;HC Oceláři Třinec;2;"PÁ 30. 10.
(0:1, 1:2, 1:0)";3;"
HC Energie Karlovy Vary";
;;BK Mladá Boleslav;2;"PÁ 30. 10.
(1:0, 1:1, 0:0)";1;"
Piráti Chomutov";
;;HC VERVA Litvínov;2;"PÁ 30. 10.
(0:3, 2:1, 0:1)";5;"
Bílí Tygři Liberec";
;;HC Škoda Plzeň;4;"PÁ 30. 10.
(2:0, 0:1, 2:1)";2;"
HC Dynamo Pardubice";
;;Mountfield HK;2;"PÁ 30. 10.
(1:0, 0:0, 1:0)";0;"
HC Olomouc";
;;HC Kometa Brno;2;"PÁ 30. 10.
(2:0, 0:1, 0:2)";3;"
HC VÍTKOVICE STEEL";
;;HC Sparta Praha;4;"ST 06. 01.
(1:1, 1:1, 2:0)";2;"
PSG Zlín";
;"16. kolo
";;;;;;
;;PSG Zlín;0;"NE 01. 11.
(0:1, 0:1, 0:1)";3;"
HC Oceláři Třinec";
;;HC VÍTKOVICE STEEL;4;"NE 01. 11.
(1:1, 2:0, 0:2 - 0:0 - 1:0)";3;"S
HC Sparta Praha";
;;HC Energie Karlovy Vary;5;"NE 01. 11.
(1:0, 4:1, 0:2)";3;"
HC Kometa Brno";
;;Bílí Tygři Liberec;4;"NE 01. 11.
(1:1, 1:1, 2:2 - 0:0 - 0:1)";5;"S
HC Škoda Plzeň";
;;HC Dynamo Pardubice;4;"NE 01. 11.
(0:0, 3:1, 1:0)";1;"
Piráti Chomutov";
;;HC Olomouc;3;"NE 01. 11.
(0:1, 0:2, 3:3)";6;"
BK Mladá Boleslav";
;;HC VERVA Litvínov;1;"NE 01. 11.
(0:3, 0:0, 1:2)";5;"
Mountfield HK";
;"17. kolo
";;;;;;
;;HC Sparta Praha;1;"ST 14. 10.
(1:0, 0:1, 0:0 - 0:0 - 0:1)";2;"S
HC Energie Karlovy Vary";
;;HC Oceláři Třinec;0;"ST 11. 11.
(0:1, 0:0, 0:0)";1;"
HC Dynamo Pardubice";
;;HC Škoda Plzeň;3;"ST 11. 11.
(0:1, 1:1, 2:3)";5;"
HC Olomouc";
;;Piráti Chomutov;4;"ST 11. 11.
(2:0, 0:0, 2:0)";0;"
HC VÍTKOVICE STEEL";
